"Year","State","AFS Name","Sum Pounds","Sum Dollars"
"2017","ALABAMA","TUNA, BLACKFIN","129,559",""
"2017","ALABAMA","TUNA, LITTLE TUNNY","349,739",""
"2017","ALABAMA","TUNA, SKIPJACK","",""
"2017","ALABAMA","TUNA, YELLOWFIN","",""
"2017","CONNECTICUT","TUNA, LITTLE TUNNY","89,111",""
"2017","DELAWARE","TUNA, BLUEFIN","104,989",""
"2017","FLORIDA*","TUNA, BLACKFIN","2,341,360",""
"2017","FLORIDA*","TUNA, LITTLE TUNNY","7,957,006",""
"2017","FLORIDA*","TUNAS","",""
"2017","GEORGIA","TUNA, LITTLE TUNNY","24,835",""
"2017","GEORGIA","TUNA, SKIPJACK","46",""
"2017","HAWAII","TUNA, ALBACORE","28,867",""
"2017","HAWAII","TUNA, BIGEYE","3,358",""
"2017","HAWAII","TUNA, KAWAKAWA","26,808",""
"2017","HAWAII","TUNA, SKIPJACK","904,837",""
"2017","HAWAII","TUNA, YELLOWFIN","3,411,795",""
"2017","LOUISIANA","TUNA, BLACKFIN","",""
"2017","LOUISIANA","TUNA, LITTLE TUNNY","",""
"2017","LOUISIANA","TUNA, SKIPJACK","",""
"2017","MARYLAND","TUNA, BLUEFIN","79,358",""
"2017","MARYLAND","TUNA, LITTLE TUNNY","8,005",""
"2017","MARYLAND","TUNA, SKIPJACK","1,501",""
"2017","MARYLAND","TUNAS","",""
"2017","MASSACHUSETTS","TUNA, LITTLE TUNNY","",""
"2017","MISSISSIPPI","TUNA, BLACKFIN","229,466",""
"2017","MISSISSIPPI","TUNA, LITTLE TUNNY","373",""
"2017","NEW JERSEY","TUNA, LITTLE TUNNY","540,210",""
"2017","NEW YORK","TUNA, LITTLE TUNNY","113,981",""
"2017","NORTH CAROLINA","TUNA, BLACKFIN","472,890",""
"2017","NORTH CAROLINA","TUNA, LITTLE TUNNY","334,367",""
"2017","RHODE ISLAND","TUNA, BLUEFIN","1,371",""
"2017","RHODE ISLAND","TUNA, LITTLE TUNNY","93,659",""
"2017","SOUTH CAROLINA","TUNA, BLACKFIN","6,863",""
"2017","SOUTH CAROLINA","TUNA, LITTLE TUNNY","10,571",""
"2017","TEXAS","TUNA, LITTLE TUNNY","",""
"2017","VIRGINIA","TUNA, LITTLE TUNNY","23,731",""
"2017","VIRGINIA","TUNA, SKIPJACK","7,846",""
"2016","ALABAMA","TUNA, BLACKFIN","487,718",""
"2016","ALABAMA","TUNA, LITTLE TUNNY","569,964",""
"2016","ALABAMA","TUNA, SKIPJACK","15,613",""
"2016","ALABAMA","TUNA, YELLOWFIN","570,691",""
"2016","CONNECTICUT","TUNA, LITTLE TUNNY","2,271",""
"2016","CONNECTICUT","TUNA, YELLOWFIN","",""
"2016","DELAWARE","TUNA, BLUEFIN","37,836",""
"2016","DELAWARE","TUNA, YELLOWFIN","12,009",""
"2016","FLORIDA*","TUNA, BLACKFIN","2,730,586",""
"2016","FLORIDA*","TUNA, LITTLE TUNNY","8,863,436",""
"2016","FLORIDA*","TUNAS","",""
"2016","GEORGIA","TUNA, SKIPJACK","",""
"2016","HAWAII","TUNA, ALBACORE","71,280",""
"2016","HAWAII","TUNA, BIGEYE","138,032",""
"2016","HAWAII","TUNA, KAWAKAWA","38,166",""
"2016","HAWAII","TUNA, SKIPJACK","550,631",""
"2016","HAWAII","TUNA, YELLOWFIN","3,683,453",""
"2016","LOUISIANA","TUNA, BLACKFIN","",""
"2016","LOUISIANA","TUNA, SKIPJACK","",""
"2016","MARYLAND","TUNA, BLUEFIN","182,688",""
"2016","MARYLAND","TUNA, LITTLE TUNNY","278",""
"2016","MARYLAND","TUNA, SKIPJACK","66,862",""
"2016","MASSACHUSETTS","TUNA, LITTLE TUNNY","366,801",""
"2016","MASSACHUSETTS","TUNAS","",""
"2016","MISSISSIPPI","TUNA, BLACKFIN","3,942",""
"2016","MISSISSIPPI","TUNA, LITTLE TUNNY","19,667",""
"2016","NEW JERSEY","TUNA, LITTLE TUNNY","88,633",""
"2016","NEW YORK","TUNA, LITTLE TUNNY","11,920",""
"2016","NEW YORK","TUNA, SKIPJACK","",""
"2016","NORTH CAROLINA","TUNA, BLACKFIN","692,069",""
"2016","NORTH CAROLINA","TUNA, LITTLE TUNNY","337,845",""
"2016","NORTH CAROLINA","TUNAS","",""
"2016","RHODE ISLAND","TUNA, BLUEFIN","",""
"2016","RHODE ISLAND","TUNA, LITTLE TUNNY","19,099",""
"2016","RHODE ISLAND","TUNA, YELLOWFIN","",""
"2016","SOUTH CAROLINA","TUNA, BLACKFIN","42,551",""
"2016","SOUTH CAROLINA","TUNA, LITTLE TUNNY","",""
"2016","SOUTH CAROLINA","TUNA, SKIPJACK","3,327",""
"2016","TEXAS","TUNA, LITTLE TUNNY","",""
"2016","VIRGINIA","TUNA, BLUEFIN","17,333",""
"2016","VIRGINIA","TUNA, LITTLE TUNNY","4,484",""
"2015","ALABAMA","TUNA, BLACKFIN","116,697",""
"2015","ALABAMA","TUNA, LITTLE TUNNY","170,905",""
"2015","ALABAMA","TUNA, SKIPJACK","2,447",""
"2015","ALABAMA","TUNA, YELLOWFIN","550,858",""
"2015","ALABAMA","TUNAS","",""
"2015","CONNECTICUT","TUNA, LITTLE TUNNY","",""
"2015","DELAWARE","TUNA, YELLOWFIN","223,653",""
"2015","FLORIDA*","TUNA, BLACKFIN","1,719,392",""
"2015","FLORIDA*","TUNA, LITTLE TUNNY","14,848,864",""
"2015","FLORIDA*","TUNA, SKIPJACK","309,380",""
"2015","FLORIDA*","TUNAS","",""
"2015","HAWAII","TUNA, ALBACORE","15,135",""
"2015","HAWAII","TUNA, BIGEYE","63,778",""
"2015","HAWAII","TUNA, KAWAKAWA","116,186",""
"2015","HAWAII","TUNA, SKIPJACK","1,573,919",""
"2015","HAWAII","TUNA, YELLOWFIN","8,541,229",""
"2015","LOUISIANA","TUNA, BLACKFIN","",""
"2015","LOUISIANA","TUNA, LITTLE TUNNY","",""
"2015","LOUISIANA","TUNA, SKIPJACK","",""
"2015","MARYLAND","TUNA, SKIPJACK","",""
"2015","MASSACHUSETTS","TUNA, LITTLE TUNNY","242,544",""
"2015","MISSISSIPPI","TUNA, LITTLE TUNNY","1,446",""
"2015","NEW JERSEY","TUNA, LITTLE TUNNY","717",""
"2015","NEW YORK","TUNA, LITTLE TUNNY","1,409",""
"2015","NEW YORK","TUNA, SKIPJACK","",""
"2015","NORTH CAROLINA","TUNA, BLACKFIN","399,679",""
"2015","NORTH CAROLINA","TUNA, LITTLE TUNNY","207,892",""
"2015","NORTH CAROLINA","TUNAS","",""
"2015","RHODE ISLAND","TUNA, ALBACORE","",""
"2015","RHODE ISLAND","TUNA, LITTLE TUNNY","128,523",""
"2015","SOUTH CAROLINA","TUNA, BLACKFIN","35,913",""
"2015","SOUTH CAROLINA","TUNA, LITTLE TUNNY","8,913",""
"2015","TEXAS","TUNA, LITTLE TUNNY","",""
"2015","VIRGINIA","TUNA, LITTLE TUNNY","32,384",""
"2015","VIRGINIA","TUNA, SKIPJACK","",""
"2014","ALABAMA","TUNA, BLACKFIN","220,447",""
"2014","ALABAMA","TUNA, LITTLE TUNNY","243,706",""
"2014","CONNECTICUT","TUNA, LITTLE TUNNY","13,695",""
"2014","DELAWARE","TUNA, BIGEYE","375,542",""
"2014","DELAWARE","TUNA, BLUEFIN","95,319",""
"2014","DELAWARE","TUNA, LITTLE TUNNY","",""
"2014","DELAWARE","TUNA, YELLOWFIN","61,822",""
"2014","FLORIDA*","TUNA, BLACKFIN","1,518,386",""
"2014","FLORIDA*","TUNA, LITTLE TUNNY","9,831,350",""
"2014","GEORGIA","TUNA, LITTLE TUNNY","174",""
"2014","HAWAII","TUNA, ALBACORE","",""
"2014","HAWAII","TUNA, BIGEYE","776,140",""
"2014","HAWAII","TUNA, KAWAKAWA","187,267",""
"2014","HAWAII","TUNA, SKIPJACK","1,211,097",""
"2014","HAWAII","TUNA, YELLOWFIN","5,972,195",""
"2014","LOUISIANA","TUNA, BLACKFIN","",""
"2014","LOUISIANA","TUNA, LITTLE TUNNY","",""
"2014","LOUISIANA","TUNA, SKIPJACK","",""
"2014","MARYLAND","TUNA, LITTLE TUNNY","3,415",""
"2014","MASSACHUSETTS","TUNA, LITTLE TUNNY","90,875",""
"2014","MISSISSIPPI","TUNA, LITTLE TUNNY","16,416",""
"2014","NEW JERSEY","TUNA, LITTLE TUNNY","103,769",""
